primary_title,runtime_minutes,genres,average_rating,num_votes,directors,writers,studio,year,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western
Jem and the Holograms,118.0,"['Adventure', 'Drama', 'Family']",4.1,6683.0,nm0160840,"nm1293285,nm0555601",Uni.,2015,2015-10-23,5000000.0,2184640.0,2368937.0,184297.0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Paper Towns,109.0,"['Comedy', 'Drama', 'Mystery']",6.3,87742.0,nm1500577,"nm2354099,nm2352210,nm1981261",Fox,2015,2015-07-24,12000000.0,32000304.0,85450484.0,53450180.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Ricki and the Flash,101.0,"['Comedy', 'Drama', 'Music']",5.9,20932.0,nm0001129,nm1959505,TriS,2015,2015-08-07,18000000.0,26839498.0,41166033.0,14326535.0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Barbershop: The Next Cut,111.0,"['Comedy', 'Drama']",5.9,13306.0,nm0002700,"nm1244069,nm2002824,nm0114197",WB (NL),2016,2016-04-15,20000000.0,54030051.0,54404202.0,374151.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Girl on the Train,112.0,"['Crime', 'Drama', 'Mystery']",6.5,150977.0,nm0853238,"nm0933379,nm6391502",Uni.,2016,2016-10-07,45000000.0,75395035.0,174278214.0,98883179.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Allied,124.0,"['Action', 'Drama', 'Romance']",7.1,125741.0,nm0000709,nm1140275,Par.,2016,2016-11-23,106000000.0,40098064.0,119266661.0,79168597.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
The Martian,144.0,"['Adventure', 'Drama', 'Sci-Fi']",8.0,680116.0,nm0000631,"nm1206844,nm1083982",Fox,2015,2015-10-02,108000000.0,228433663.0,655271443.0,426837780.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Bridge of Spies,142.0,"['Drama', 'History', 'Thriller']",7.6,263004.0,nm0000229,"nm4131020,nm0001053,nm0001054",BV,2015,2015-10-16,40000000.0,72313754.0,162498338.0,90184584.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
The BFG,117.0,"['Adventure', 'Family', 'Fantasy']",6.4,69340.0,nm0000229,"nm0558953,nm0001094",BV,2016,2016-07-01,140000000.0,55483770.0,199646680.0,144162910.0,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
The Other Side of the Door,96.0,['Horror'],5.3,15813.0,nm1266897,"nm1266897,nm2033094",Fox,2016,2016-03-04,5000000.0,3000342.0,12905107.0,9904765.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
By the Sea,122.0,"['Drama', 'Romance']",5.3,16206.0,nm0001401,nm0001401,Uni.,2015,2015-11-13,20000000.0,538460.0,3727746.0,3189286.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Power Rangers,124.0,"['Action', 'Adventure', 'Sci-Fi']",6.0,92013.0,nm2410311,"nm0309691,nm1948885,nm2332952,nm1802251,nm0612487,nm0536805,nm2120520,nm0411127,nm0506619",LGF,2017,2017-03-24,120000000.0,85364450.0,142531552.0,57167102.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
American Honey,163.0,"['Adventure', 'Drama', 'Romance']",7.0,31663.0,nm0036349,nm0036349,A24,2016,2016-09-30,3500000.0,663247.0,2611750.0,1948503.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Kong: Skull Island,118.0,"['Action', 'Adventure', 'Fantasy']",6.6,237720.0,nm3611349,"nm0319659,nm1440919,nm2081046,nm0309691,nm0178260,nm0908624",WB,2017,2017-03-10,185000000.0,168052812.0,561072059.0,393019247.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Lion,118.0,"['Biography', 'Drama']",8.1,181601.0,nm0204628,"nm6506884,nm1729294",Wein.,2016,2016-11-25,12000000.0,51739495.0,149570720.0,97831225.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Rogue One: A Star Wars Story,133.0,"['Action', 'Adventure', 'Sci-Fi']",7.8,478592.0,nm2284484,"nm0919363,nm0006904,nm0461306,nm1729428,nm0000184",BV,2016,2016-12-16,200000000.0,532177324.0,1049102856.0,516925532.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
My Big Fat Greek Wedding 2,94.0,"['Comedy', 'Romance']",6.0,25933.0,nm0428600,nm0889522,Uni.,2016,2016-03-25,18000000.0,59689605.0,92096558.0,32406953.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
The Equalizer 2,121.0,"['Action', 'Crime', 'Thriller']",6.7,97963.0,nm0298807,"nm0921013,nm0805994,nm2030456",Sony,2018,2018-07-20,77000000.0,102084362.0,190453132.0,88368770.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Snowden,134.0,"['Biography', 'Drama', 'Thriller']",7.3,119149.0,nm0000231,"nm1634307,nm0000231,nm4816469,nm3427812",ORF,2016,2016-09-16,50000000.0,21587519.0,35380918.0,13793399.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Solo: A Star Wars Story,135.0,"['Action', 'Adventure', 'Fantasy']",7.0,226243.0,nm0000165,"nm0440459,nm0001410,nm0000184",BV,2018,2018-05-25,275000000.0,213767512.0,393151347.0,179383835.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
La La Land,128.0,"['Comedy', 'Drama', 'Music']",8.0,436070.0,nm3227090,nm3227090,LG/S,2016,2016-12-09,20000000.0,151101803.0,426351163.0,275249360.0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
We Are Your Friends,96.0,"['Drama', 'Music', 'Romance']",6.2,32327.0,nm3273000,"nm3273000,nm0649198,nm1230426",WB,2015,2015-08-28,2000000.0,3591417.0,10153415.0,6561998.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
The Nice Guys,116.0,"['Action', 'Comedy', 'Crime']",7.4,240337.0,nm0000948,"nm0000948,nm0046524",WB,2016,2016-05-20,50000000.0,36261763.0,59596747.0,23334984.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
